age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,student_id,lucky_number,hobby_code
67,?,174995,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,2457,40,United-States,0,50,666,A
40,Self-emp-not-inc,335549,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2444,45,United-States,>50K,51,343,B
50,Private,237729,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,2444,72,United-States,>50K,52,931,C
51,State-gov,68898,Assoc-voc,11,Divorced,Tech-support,,White,Male,0,2444,39,United-States,>50K,53,604,B
42,,107276,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,2444,40,United-States,>50K,54,230,B
39,,,Masters,14,Never-married,Sales,Not-in-family,White,Male,0,2444,45,United-States,>50K,55,584,B
32,Private,207668,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,50,United-States,>50K,56,918,D
53,Private,313243,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,0,2444,45,United-States,1,57,746,A
40,Local-gov,147372,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2444,40,United-States,1,58,120,C
38,Private,237608,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,2444,45,United-States,1,59,940,D
33,Private,194901,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Male,0,2444,42,United-States,>50K,60,266,A
43,Private,155106,Assoc-acdm,12,,Craft-repair,Not-in-family,White,Male,0,2444,70,United-States,>50K,61,373,D
50,Self-emp-inc,121441,11th,7,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,40,United-States,1,62,487,A
44,Private,162028,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2415,6,United-States,>50K,63,700,
51,Self-emp-not-inc,160724,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,2415,40,China,>50K,64,415,C
41,Private,132222,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,40,United-States,1,65,113,C
60,Self-emp-inc,226355,Assoc-voc,11,Married-civ-spouse,,Husband,White,Male,,2415,,?,>50K,66,341,C
37,Private,329980,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,1,67,876,A
55,,124137,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,35,Greece,>50K,68,445,D
39,Self-emp-inc,329980,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,60,United-States,1,69,664,C
42,Self-emp-inc,187702,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States,>50K,70,997,C
49,Private,199029,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,,55,United-States,>50K,71,439,C
47,Self-emp-not-inc,145290,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,1,72,191,B
41,Local-gov,297248,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,1,73,466,C
55,Self-emp-inc,227856,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,,0,2415,50,United-States,>50K,74,554,C
39,Private,179731,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,65,United-States,>50K,75,527,A
42,Private,154374,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,>50K,76,608,B
41,?,27187,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,0,2415,12,United-States,>50K,77,875,A
46,Private,326857,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,2415,65,United-States,1,78,134,D
40,Private,160369,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,45,United-States,>50K,79,305,B
32,Private,396745,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,48,United-States,1,80,180,A
41,Self-emp-inc,151089,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,55,United-States,>50K,81,661,
60,Self-emp-inc,336188,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,United-States,>50K,82,,D
31,Private,279015,Masters,14,Married-civ-spouse,,Husband,White,Male,0,2415,70,Taiwan,>50K,83,487,D
58,Self-emp-not-inc,43221,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,40,United-States,1,84,101,C
37,Self-emp-inc,30529,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,United-States,>50K,85,,C
44,Self-emp-not-inc,201742,Bachelors,13,Married-civ-spouse,,Husband,White,Male,0,2415,50,United-States,>50K,86,665,B
39,Self-emp-not-inc,218490,Prof-school,15,,Prof-specialty,Husband,White,Male,0,2415,50,?,>50K,87,205,B
43,Federal-gov,156996,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,55,?,>50K,88,871,D
55,Self-emp-inc,298449,Bachelors,13,Married-civ-spouse,Exec-managerial,,White,Male,0,2415,50,United-States,>50K,89,921,B
44,Self-emp-inc,,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,,0,2415,55,United-States,>50K,90,576,C
39,Private,198654,Prof-school,15,,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,67,India,1,91,802,D
46,Self-emp-not-inc,102308,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,40,United-States,>50K,92,501,A
39,Private,348521,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,99,United-States,>50K,93,829,D
62,Self-emp-inc,56248,Bachelors,13,Married-civ-spouse,Farming-fishing,,White,Male,0,2415,60,United-States,>50K,94,655,B
31,Self-emp-not-inc,252752,HS-grad,9,Married-civ-spouse,,Wife,White,Female,0,2415,40,United-States,>50K,95,261,C
46,Private,192963,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,,2415,35,Philippines,>50K,96,301,C
,Self-emp-not-inc,198759,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,United-States,>50K,97,369,A
39,Self-emp-inc,143123,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2415,40,United-States,>50K,98,962,A
39,Private,237713,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,0,2415,99,United-States,1,99,915,D
59,Private,81929,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,1,100,370,C
50,Self-emp-inc,167793,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,,2415,60,United-States,1,101,555,A
46,Private,456062,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,United-States,>50K,102,561,A
53,Self-emp-not-inc,105478,,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,,40,United-States,>50K,103,826,D
50,Self-emp-not-inc,42402,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,30,United-States,>50K,104,351,D
41,Self-emp-inc,114580,Prof-school,15,Married-civ-spouse,Exec-managerial,Wife,,Female,,2415,55,United-States,>50K,105,801,C
36,,346478,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,45,United-States,1,106,395,B
38,Private,187870,Prof-school,15,Married-civ-spouse,,Husband,White,Male,0,2415,90,United-States,>50K,107,824,
54,Private,35576,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,United-States,>50K,108,819,C
50,Private,102346,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,20,United-States,1,109,848,B
47,Private,148995,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,1,110,437,C
47,Self-emp-inc,102308,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,,United-States,1,111,978,C
67,Private,105252,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Male,0,2392,40,United-States,1,112,152,A
67,Self-emp-inc,106175,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,75,United-States,>50K,113,891,B
72,Self-emp-not-inc,52138,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2392,25,United-States,>50K,114,316,C
72,?,118902,Doctorate,16,Married-civ-spouse,,Husband,White,Male,0,2392,6,United-States,>50K,115,863,B
46,Self-emp-inc,191978,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,50,United-States,>50K,116,287,B
78,Self-emp-inc,188044,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,United-States,>50K,117,479,D
71,Self-emp-inc,66624,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,60,United-States,1,118,592,B
83,Self-emp-inc,153183,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,55,United-States,>50K,119,140,C
68,,211287,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,,0,2392,40,United-States,>50K,120,256,A
26,Private,181655,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2377,45,United-States,<=50K,121,114,B
68,State-gov,235882,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,60,United-States,>50K,122,912,C
49,Self-emp-inc,158685,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2377,40,United-States,>50K,123,164,
,Private,370767,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,60,United-States,0,124,956,B
70,Self-emp-not-inc,155141,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,12,United-States,1,125,938,A
27,Private,156516,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,2377,20,United-States,<=50K,126,,B
35,,177305,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,40,United-States,<=50K,127,443,C
23,Private,162945,HS-grad,9,Married-civ-spouse,Sales,Husband,White,,0,2377,40,United-States,<=50K,128,228,B
81,Private,177408,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,26,United-States,1,129,747,B
66,Self-emp-not-inc,427422,Doctorate,16,Married-civ-spouse,Sales,Husband,,Male,0,2377,25,United-States,>50K,130,571,D
71,,152307,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,,Male,0,2377,45,United-States,>50K,131,162,
68,Private,218637,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,2377,55,United-States,1,132,238,A
68,State-gov,202699,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,42,?,1,133,598,B
65,?,240857,Bachelors,13,Married-civ-spouse,?,Husband,White,,0,2377,40,United-States,>50K,134,692,D
,Private,222405,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,0,2377,40,United-States,<=50K,135,491,C
40,Self-emp-inc,110862,Assoc-acdm,12,Married-civ-spouse,,Husband,White,Male,0,,50,United-States,<=50K,136,774,B
68,?,257269,Bachelors,13,,?,Husband,White,Male,0,2377,35,United-States,>50K,137,518,B
21,,377931,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,48,United-States,<=50K,138,388,D
35,Private,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,40,United-States,<=50K,139,478,D
70,Self-emp-inc,207938,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,50,United-States,>50K,140,872,D
61,Self-emp-not-inc,36671,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,,0,2352,50,United-States,<=50K,141,589,B
65,Self-emp-inc,81413,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,65,United-States,0,142,330,
46,Private,,5th-6th,3,Divorced,Craft-repair,Not-in-family,White,Female,0,,45,United-States,<=50K,143,140,D
26,Local-gov,166295,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,,2339,55,United-States,<=50K,144,127,C
59,Local-gov,147707,HS-grad,9,Widowed,Farming-fishing,Unmarried,White,Male,0,2339,40,United-States,0,145,234,B
,Private,,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,,40,United-States,0,146,300,C
60,State-gov,358893,Bachelors,13,Divorced,Prof-specialty,Not-in-family,,Female,0,2339,40,United-States,<=50K,147,939,C
49,Self-emp-inc,141058,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,2339,50,United-States,<=50K,148,879,A
34,Private,25322,Bachelors,13,Married-spouse-absent,Machine-op-inspct,Not-in-family,,Male,0,2339,40,?,0,149,132,C
,Private,77071,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,2339,35,United-States,0,150,147,D
55,Private,158702,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,2339,,?,<=50K,151,602,D
59,Local-gov,171328,HS-grad,9,Separated,Protective-serv,Other-relative,Black,,0,2339,,United-States,0,152,506,B
28,State-gov,381789,Some-college,10,Separated,Exec-managerial,Own-child,White,Male,0,2339,40,United-States,0,153,,
43,?,152569,,11,Widowed,?,Not-in-family,,Female,0,2339,36,United-States,<=50K,154,827,A
56,Self-emp-not-inc,346635,Masters,14,Divorced,Sales,Unmarried,White,Female,0,2339,60,United-States,<=50K,155,904,C
41,Private,162140,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2339,40,United-States,0,156,198,A
42,Private,191765,HS-grad,9,Never-married,Adm-clerical,,Black,Female,0,2339,40,Trinadad&Tobago,<=50K,157,783,C
28,Private,251905,Prof-school,,,Prof-specialty,Not-in-family,White,Male,0,2339,40,Canada,<=50K,158,971,C
40,Self-emp-not-inc,33310,Prof-school,15,Divorced,Other-service,Not-in-family,White,Female,0,2339,35,United-States,0,159,825,A
69,Private,228921,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,,0,2282,40,United-States,>50K,160,646,B
66,Local-gov,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2267,40,United-States,<=50K,161,,C
69,Private,124930,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2267,40,United-States,<=50K,162,,D
55,Local-gov,176046,,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2267,40,United-States,<=50K,163,561,D
57,Federal-gov,370890,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,40,United-States,<=50K,164,742,A
20,Self-emp-not-inc,157145,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,2258,10,United-States,0,165,868,
33,Private,288825,HS-grad,9,,Craft-repair,Not-in-family,White,Male,0,2258,84,United-States,<=50K,166,104,C
30,Self-emp-not-inc,257295,Some-college,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0,2258,40,South,<=50K,167,317,C
40,Private,287983,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,48,Philippines,0,168,602,D
38,Private,101978,Some-college,10,Separated,Machine-op-inspct,Not-in-family,White,Male,0,2258,55,United-States,1,169,866,C
46,State-gov,192779,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Male,0,2258,38,United-States,>50K,170,497,D
29,Private,135296,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,45,United-States,>50K,171,970,C
57,Federal-gov,199114,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,40,United-States,0,172,894,B
39,,156897,,9,Never-married,Craft-repair,Own-child,White,Male,0,2258,42,United-States,>50K,173,492,B
47,Private,138107,,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2258,,United-States,1,174,306,D
26,Private,279833,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,45,United-States,>50K,175,114,B
27,Self-emp-not-inc,208577,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,2258,50,United-States,0,176,957,B
23,Private,102942,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,2258,40,United-States,>50K,177,653,A
34,Private,36385,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,2258,50,,<=50K,178,991,C
33,Private,176185,12th,8,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,42,United-States,<=50K,179,560,A
38,Local-gov,162613,,14,Never-married,Prof-specialty,,White,Female,0,2258,60,United-States,0,180,,D
57,Private,121362,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,,38,United-States,>50K,181,674,A
36,Private,145933,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,70,United-States,0,182,963,D
44,Federal-gov,29591,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,0,2258,40,United-States,>50K,183,842,B
49,State-gov,269417,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,50,United-States,>50K,184,340,A
44,Self-emp-inc,178510,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,2258,60,United-States,0,185,663,B
,Private,,Some-college,10,Widowed,Farming-fishing,Not-in-family,White,Male,0,2258,62,United-States,>50K,186,195,C
45,Private,187901,HS-grad,9,Divorced,Farming-fishing,,White,Male,0,2258,44,United-States,>50K,187,833,
48,Private,175070,HS-grad,,Divorced,Exec-managerial,Not-in-family,White,Female,0,2258,40,United-States,>50K,188,584,C
31,Private,263561,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,45,United-States,>50K,189,,B
55,Local-gov,99131,HS-grad,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,2246,40,United-States,1,190,330,A
70,Self-emp-not-inc,143833,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,40,United-States,1,191,848,A
70,Self-emp-not-inc,124449,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,8,United-States,>50K,192,754,B
73,Private,336007,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2246,40,United-States,>50K,193,270,D
72,Self-emp-not-inc,,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,,0,2246,28,United-States,>50K,194,640,D
31,Private,327825,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White,,0,2238,40,United-States,<=50K,195,135,C
28,Private,129460,10th,6,Widowed,Adm-clerical,Unmarried,White,Female,0,2238,35,United-States,<=50K,196,624,
23,Self-emp-not-inc,258298,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,2231,40,United-States,>50K,197,259,B
49,Local-gov,102359,9th,5,Widowed,Handlers-cleaners,Unmarried,White,,0,2231,40,United-States,>50K,198,938,A
27,Local-gov,92431,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2231,40,United-States,>50K,199,798,C
90,Private,51744,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,,2206,40,United-States,<=50K,200,342,
68,Private,166149,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,2206,30,United-States,<=50K,201,185,C
65,Private,149811,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,2206,59,Canada,0,202,895,A
65,?,143118,HS-grad,9,Widowed,?,Unmarried,White,Female,,2206,10,United-States,0,203,677,C
67,Private,118363,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,,0,2206,,United-States,<=50K,204,781,B
66,,362165,Bachelors,13,Widowed,Prof-specialty,Not-in-family,Black,Female,0,2206,25,United-States,<=50K,205,656,C
24,Private,379066,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,,0,2205,24,United-States,0,206,673,D
44,Self-emp-not-inc,171424,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,2205,35,United-States,0,207,,C
35,Private,108293,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,2205,40,United-States,<=50K,208,895,A
20,Private,107801,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,0,2205,18,United-States,0,209,127,A
,Private,126675,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2205,40,United-States,0,210,719,A
39,Private,155603,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,2205,,United-States,<=50K,211,655,A
32,Private,27882,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,,,2205,40,Holand-Netherlands,<=50K,212,439,B
42,Private,242564,7th-8th,4,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2205,40,United-States,<=50K,213,897,C
63,?,234083,HS-grad,9,Divorced,,Not-in-family,White,Female,0,2205,40,United-States,0,214,430,C
42,Self-emp-inc,23510,,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,2201,60,India,>50K,215,739,C
64,Private,181232,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,0,216,605,C
28,Private,166481,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,2179,40,Puerto-Rico,<=50K,217,447,B
41,Self-emp-inc,139916,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,84,Mexico,<=50K,218,572,
41,Self-emp-not-inc,144594,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K,219,330,C
,Self-emp-not-inc,,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,18,United-States,<=50K,220,289,C
59,State-gov,303176,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2179,40,United-States,<=50K,221,324,A
34,Self-emp-not-inc,56460,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,2179,12,United-States,<=50K,222,484,D
